id;lookup_code;display_value;sequence;category;dependent_code
1;regarding fry;drown savage terrible;16992;excitable;beset thoroughly
2;gracefully aw;motive but vouchsafe;6655;oddly yahoo huzzah;fitting tenderly circa
3;supposing doughnut;teeming well-worn;16280;partially;wherever
4;till prosperity tooth;far;16288;including impressionable;yahoo aha
5;although deeply;near;27412;ashamed;gripping potentially untidy
6;beneath amid woot;button pristine colonial;14017;monk suet another;incidentally upon
7;pace oof;violet sharply trash;11536;psst;evenly
8;fooey how troubled;unethically oh;25952;ack;diversity
9;highly so;seaweed thief;15593;abaft;gadzooks anti
10;and outside;dim um;6209;amongst trained hacienda;interestingly
