id;subject_code;topic_code;status;is_approval_required;is_approved;details_json
1;greedily;exalted;afore;true;true;rhubarb
2;true satisfaction promulgate;boohoo;certainly;true;false;geez
3;silently;authenticity tomatillo;shuck;false;true;gloomy wakeboard
4;elementary zowie witness;brr revelation;despite until;false;true;active
5;upliftingly likewise;provided;colorfully;true;true;yahoo down burst
6;entrance why;unhealthy lest;extirpate actually filter;false;false;inasmuch
7;fond brr lobby;opposite wee;raft fast;false;false;rocker orange condemn
8;inwardly;aw brr;pish single however;true;false;steel
9;but;interject achievement what;false;false;false;far emancipate furiously
10;hm nicely;pseudocode yuck;as leaf;false;true;wholly after
