id;topic_code;topic_name;target_group
1;relaunch food;weary that because;scrabble rosemary
2;incidentally smart agreement;curiously why;enfranchise especially
3;those;modulo amongst extremely;overconfidently amid aside
4;which;save unlawful;that stigmatize
5;wetly usable shrimp;brightly after active;less
6;among even;mortgage who fairly;lest
7;nucleotide;er;oh by scratchy
8;whose wonderfully;frankly quizzical;along quietly afternoon
9;gentrify yahoo zowie;discharge rumble;bulge messy
10;but crumb;hmph brain um;geez buttonhole oh
